StudyHours,Attendance,SleepHours,FinalScore
7,71,9,84.5
4,60,6,65.0
8,97,7,96.5
5,65,8,65.5
7,82,4,84.0
10,58,8,95.0
3,55,7,63.5
7,65,7,85.5
8,78,7,94.0
5,52,8,65.0
4,69,7,67.5
8,85,9,100.0
8,68,8,96.0
3,75,7,61.5
6,52,9,70.0
5,68,6,74.0
2,69,7,60.5
8,81,8,93.5
6,56,5,67.0
2,90,7,67.0
5,82,5,83.0
1,89,9,58.5
10,88,6,100.0
6,67,4,65.5
9,89,6,96.5
1,50,7,52.0
10,60,5,87.0
3,77,5,68.5
7,74,8,90.0
4,99,5,69.5
9,72,8,100.0
3,80,9,79.0
5,79,4,68.5
3,91,7,76.5
7,84,8,86.0
5,56,4,54.0
9,65,5,82.5
7,75,5,90.5
2,97,4,67.5
4,98,5,75.0
9,51,9,87.5
2,50,9,61.0
10,97,4,100.0
9,61,8,83.5
10,54,8,95.0
5,86,4,78.0
2,81,8,73.5
4,58,8,74.0
7,90,9,95.0
8,84,8,96.0
3,68,6,57.0
1,97,7,57.5
4,65,5,54.5
2,52,6,50.0
8,69,8,96.5
4,73,9,64.5
2,82,4,54.0
6,73,8,92.5
6,60,9,73.0
10,98,7,100.0
4,57,8,66.5
6,85,4,82.5
2,87,9,75.5
10,89,9,100.0
2,69,9,67.5
10,84,7,100.0
4,97,8,84.5
8,74,7,85.0
7,84,5,80.0
9,74,5,84.0
8,78,8,100.0
5,67,7,81.5
2,95,4,72.5
5,67,9,80.5
8,51,9,81.5
10,84,8,100.0
9,65,5,90.5
9,90,5,100.0
1,85,9,55.5
9,82,8,100.0
7,53,7,67.5
9,82,5,100.0
8,63,7,85.5
1,70,5,51.0
8,97,5,97.5
8,69,6,91.5
3,57,5,50.5
1,56,4,36.0
8,52,8,83.0
3,66,8,74.0
3,82,7,67.0
1,97,5,56.5
5,61,4,60.5
10,100,7,100.0
7,71,6,76.5
10,71,7,97.5
9,95,7,99.5
7,79,5,90.5
9,87,6,98.5
8,87,7,87.5
2,94,4,75.0
1,100,4,72.0
7,57,8,81.5
7,76,6,90.0
8,76,6,92.0
5,83,8,85.5
3,70,7,56.0
8,79,6,86.5
6,82,4,86.0
3,77,4,69.5
1,96,5,57.0
3,82,6,72.0
5,54,7,57.0
3,97,8,78.5
1,68,8,62.0
5,53,7,67.5
10,84,9,100.0
7,98,5,84.0
7,66,8,74.0
9,93,6,100.0
10,77,5,100.0
10,79,6,100.0
3,78,4,62.0
7,95,5,100.0
1,55,8,54.5
4,84,5,74.0
4,90,5,65.0
5,86,5,69.0
7,73,9,87.5
7,78,5,76.0
4,98,6,71.0
7,95,4,100.0
3,80,7,74.0
6,84,5,77.0
2,82,8,73.0
10,70,5,89.0
9,81,8,95.5
5,72,6,68.0
6,82,8,79.0
4,52,7,70.0
10,67,4,85.5
7,74,8,98.0
9,91,8,100.0
7,80,4,82.0
1,52,7,44.0
1,89,5,67.5
9,95,8,100.0
9,73,4,99.5
4,99,6,84.5
9,81,4,91.5
3,96,6,78.0
7,71,7,74.5
6,72,5,84.0
8,51,4,75.5
9,76,9,100.0
5,91,8,79.5
1,51,7,34.5
3,75,4,66.5
10,66,8,96.0
8,89,4,83.5
6,82,6,80.0
8,58,4,73.0
9,92,9,100.0
4,97,4,68.5
1,88,4,64.0
1,78,9,63.0
10,91,7,99.5
4,75,4,66.5
7,84,9,89.0
2,99,8,81.5
3,74,6,69.0
1,73,6,57.5
5,62,4,68.0
1,56,7,41.0
8,85,7,100.0
1,94,8,71.0
1,69,4,38.5
2,50,6,47.0
2,57,7,60.5
6,95,4,81.5
7,65,7,76.5
5,63,9,65.5
1,61,7,44.5
1,100,6,74.0
3,72,5,52.0
2,64,8,65.0
5,77,8,83.5
10,83,6,100.0
6,51,7,60.5
7,81,4,92.5
4,72,7,65.0
7,71,6,72.5
8,100,8,100.0
1,74,7,55.0
6,71,8,89.5
8,71,4,89.5
5,98,8,84.0
4,91,8,74.5
2,55,5,46.5
6,64,5,78.0
